species,link,species_id
lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,29
asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html,30
huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html,31
brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,32
loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,33
garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,34
mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html,35
lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,36
portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,37
johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,38
rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,39
feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,40
tagorei,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html,41
lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html,42
walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html,43
altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html,44
inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,45
sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html,46
gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,47
altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,48
canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,49
mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html,50
gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html,51
supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html,52
dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,53
saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html,54
sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,55
zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html,56
bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html,57
,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html,58
nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,59
stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html,60
oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html,61
youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html,62
,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html,63
bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,64
zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html,65
pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html,66
insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html,67
jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html,68
osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html,69
,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html,70
